time, q1, q2, q3, sunAz, sunAlt, qw, qx, qy, qz, sx, sy, sb, tx, ty, rx, ry, rz, ax, ay, az, cqw, cqx, cqy, cqz, imuT, imuP, imuLat, imuLon, hMin, hMax, hScale, j3_ch1_1x, j3_ch2_1x, j3_ch3_1x, j3_ch4_1x, j3_ch5_1x, t3
2025-07-10 09:23:46.365809784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-10 09:23:46.371836285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-10 09:23:46.390610905, 0, 0, 0, 0, 0, 0.226273, -0.0235194, -0.0637072, -0.971694, 0.505, 0.523333, 186, 0, 0, -0.0115551, -0.0444576, 0.00715386, 0.0225627, 0.00746959, 0.0419617, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-10 09:23:46.410638419, 0, 0, 0, 0, 0, 0.226273, -0.0235194, -0.0637072, -0.971694, 0.50625, 0.525, 185, 0, 0, -0.0115551, -0.0444576, 0.00715386, 0.0225627, 0.00746959, 0.0419617, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-10 09:23:46.430600495, 0, 0, 0, 0, 0, 0.226269, -0.0234823, -0.0637556, -0.971692, 0.50625, 0.525, 185, 0, 0, -0.0101309, -0.0438999, 0.00856612, 0.0237006, 0.00930261, 0.0302992, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
2025-07-10 09:23:46.450635276, 116.745, 150.027, 0, 90.2425, 38.6413, 0.226269, -0.0234823, -0.0637556, -0.971692, 0.50625, 0.526667, 185, 0, 0, -0.0101309, -0.0438999, 0.00856612, 0.0237006, 0.00930261, 0.0302992, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
2025-07-10 09:23:46.470576563, 116.743, 150.027, 0, 90.2425, 38.6413, 0.226269, -0.0234823, -0.0637556, -0.971692, 0.50625, 0.526667, 185, 0, 0, -0.0101309, -0.0438999, 0.00856612, 0.0237006, 0.00930261, 0.0302992, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
2025-07-10 09:23:46.490601617, 116.743, 150.025, 0, 90.2425, 38.6413, 0.226269, -0.0234823, -0.0637556, -0.971692, 0.50625, 0.526667, 185, 0, 0, -0.0101309, -0.0438999, 0.00856612, 0.0237006, 0.00930261, 0.0302992, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 0, 0, 0, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
2025-07-10 09:23:46.510610169, 116.743, 150.022, 0, 90.2425, 38.6413, 0.22625, -0.023491, -0.0637383, -0.971698, 0.5075, 0.525, 185, 0.5043, 0.5251, -0.0112839, -0.0448547, 0.00678208, 0.0285581, 0.00193544, 0.0422754, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 1, 2.5, 20, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
2025-07-10 09:23:46.530684545, 116.745, 150.022, 0, 90.2425, 38.6413, 0.22625, -0.023491, -0.0637383, -0.971698, 0.50625, 0.525, 185, 0.5043, 0.5251, -0.0112839, -0.0448547, 0.00678208, 0.0285581, 0.00193544, 0.0422754, 1, 0, 0, 0, 51.4453, 101669, 37.4198, -122.057, 1, 2.5, 20, -0.597824, -1.26628, -1.31706, -1.31522, -1.38965, 37.1875
