time, q1, q2, q3, sunAz, sunAlt, qw, qx, qy, qz, sx, sy, sb, tx, ty, rx, ry, rz, ax, ay, az, cqw, cqx, cqy, cqz, imuT, imuP, imuLat, imuLon, hMin, hMax, hScale, j3_ch1_1x, j3_ch2_1x, j3_ch3_1x, j3_ch4_1x, j3_ch5_1x, t3
2025-07-11 08:32:24.004473811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.018126960, 0, 0, 0, 0, 0, 0.200571, 0.0166349, 0.0651935, -0.977366, 0.50625, 0.523333, 187, 0, 0, -0.00153727, -0.0234476, 0.00483364, -0.394025, 0.000775749, -0.00534439, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.038121180, 0, 0, 0, 0, 0, 0.200571, 0.0166349, 0.0651935, -0.977366, 0.50625, 0.523333, 187, 0, 0, -0.00153727, -0.0234476, 0.00483364, -0.394025, 0.000775749, -0.00534439, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.058369609, 107.07, 145.403, 0, 0, 0, 0.200571, 0.0166349, 0.0651935, -0.977366, 0.50625, 0.523333, 187, 0, 0, -0.00153727, -0.0234476, 0.00483364, -0.394025, 0.000775749, -0.00534439, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.078220225, 107.07, 145.403, 0, 0, 0, 0.200561, 0.016654, 0.0650738, -0.977376, 0.50625, 0.523333, 187, 0, 0, -0.0012897, -0.0233617, 0.00304636, -0.391929, -0.00355169, 0.00893688, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.098068751, 107.07, 145.399, 0, 82.9348, 28.3744, 0.200561, 0.016654, 0.0650738, -0.977376, 0.50625, 0.523333, 187, 0, 0, -0.0012897, -0.0233617, 0.00304636, -0.391929, -0.00355169, 0.00893688, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.118148197, 107.07, 145.399, 0, 82.9348, 28.3744, 0.200561, 0.016654, 0.0650738, -0.977376, 0.50625, 0.523333, 187, 0, 0, -0.0012897, -0.0233617, 0.00304636, -0.391929, -0.00355169, 0.00893688, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.138122988, 107.07, 145.392, 0, 82.9348, 28.3744, 0.201166, 0.0166505, 0.0653364, -0.977234, 0.50625, 0.523333, 187, 0, 0, -0.00168664, -0.0237303, 0.00399367, -0.394641, 0.00258855, -0.00519943, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.158152307, 107.07, 145.392, 0, 82.9348, 28.3744, 0.201166, 0.0166505, 0.0653364, -0.977234, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00168664, -0.0237303, 0.00399367, -0.394641, 0.00258855, -0.00519943, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2.5, 20, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.178160110, 107.07, 145.387, 0, 82.9348, 28.3744, 0.201166, 0.0166505, 0.0653364, -0.977234, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00168664, -0.0237303, 0.00399367, -0.394641, 0.00258855, -0.00519943, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2.5, 20, 0, 0, 0, 0, 0, -5.89787e-29
2025-07-11 08:32:24.198082904, 107.07, 145.387, 0, 82.9348, 28.3744, 0.201159, 0.0166747, 0.0652108, -0.977243, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00264607, -0.0236023, 0.00420343, -0.395715, -0.00966227, 0.0219803, 1, 0, 0, 0, 48.457, 101282, 37.4198, -122.057, 1, 2.5, 20, -0.356302, -1.07609, -1.27, -1.27537, -1.35031, 36.875
2025-07-11 08:32:24.218148912, 107.07, 145.383, 0, 82.9348, 28.3744, 0.201159, 0.0166747, 0.0652108, -0.977243, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00264607, -0.0236023, 0.00420343, -0.395715, -0.00966227, 0.0219803, 1, 0, 0, 0, 48.457, 101282, 37.4198, -122.057, 1, 2.5, 20, -0.356302, -1.07609, -1.27, -1.27537, -1.35031, 36.875
2025-07-11 08:32:24.238134446, 107.07, 145.383, 0, 82.9348, 28.3744, 0.201159, 0.0166747, 0.0652108, -0.977243, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00264607, -0.0236023, 0.00420343, -0.395715, -0.00966227, 0.0219803, 1, 0, 0, 0, 48.457, 101282, 37.4198, -122.057, 1, 2.5, 20, -0.356302, -1.07609, -1.27, -1.27537, -1.35031, 36.875
2025-07-11 08:32:24.258242419, 107.07, 145.381, 0, 82.9348, 28.3744, 0.201159, 0.0166747, 0.0652108, -0.977243, 0.505, 0.523333, 187, 0.5043, 0.5251, -0.00264607, -0.0236023, 0.00420343, -0.395715, -0.00966227, 0.0219803, 1, 0, 0, 0, 48.457, 101282, 37.4198, -122.057, 1, 2.5, 20, -0.356302, -1.07609, -1.27, -1.27537, -1.35031, 36.875
2025-07-11 08:32:24.278114018, 107.07, 145.381, 0, 82.9348, 28.3744, 0.20117, 0.0167006, 0.0650953, -0.977248, 0.50625, 0.523333, 187, 0.5043, 0.5251, -0.00246279, -0.0230361, 0.0046229, -0.400563, -0.00612891, 0.033555, 1, 0, 0, 0, 48.457, 101282, 37.4198, -122.057, 1, 2.5, 20, -0.356302, -1.07609, -1.27, -1.27537, -1.35031, 36.875
