%Mission: Ground1
%Operator: Steve
%Time: 2022,05,04,22:30:23.527
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220504_223023_RADIOMETERS.dat
%Notes: MEH
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,04,22:30:23.529,-0.0027552131,-0.0395600721,-3.7505137920,-0.0172962733,-0.0025269487,-0.0362126045,-0.0024541509,-0.0193087012,-1.7146692276,-0.0024479816,-0.0141548607,-1.2024487257,-0.0025146101,-0.0161389112,-1.3791068792,-1.6712632179,-0.0017779947,-0.0014349811,0.0846748203,-0.2783246338,0.0005972487,0.2960194349,0.0245476644,-0.0022172495,0.0172646847,0.2325148582,-0.0441302955,-4.1898522377,-4.9486379623,0.5784551501,3.9903125763,-3.9886033535
2022,05,04,22:30:23.644,-0.0028008660,-0.0395070165,-3.7283549309,-0.0173271187,-0.0025355858,-0.0343025886,-0.0024862313,-0.0192803219,-1.7071981430,-0.0025713677,-0.0143436417,-1.2028127909,-0.0025886418,-0.0160883218,-1.3805739880,-1.6712840796,-0.0018211799,-0.0015016097,0.0847957507,-0.2787836492,0.0006342683,0.2960909903,0.0246969759,-0.0021025003,0.0178606994,0.2328443378,-0.0441241264,-4.1861815453,-4.9797053337,0.5784131885,3.9903447628,-3.9885776043
2022,05,04,22:30:23.758,-0.0028181400,-0.0397352800,-3.7596666813,-0.0173172485,-0.0026133191,-0.0353982560,-0.0025738354,-0.0194172803,-1.7152564526,-0.0025244809,-0.0144078024,-1.2051324844,-0.0025479244,-0.0160192251,-1.3765861988,-1.6713273525,-0.0017434466,-0.0014238764,0.0851178169,-0.2784764171,0.0006774578,0.2966746688,0.0247993972,-0.0021148389,0.0184308011,0.2327690572,-0.0440710708,-4.1776781082,-4.9548764229,0.5784292221,3.9902989864,-3.9886033535
2022,05,04,22:30:23.872,-0.0028983410,-0.0398265868,-3.7478561401,-0.0173974503,-0.0026318270,-0.0361681879,-0.0026133191,-0.0194481276,-1.7196589708,-0.0025565613,-0.0143942302,-1.2087093592,-0.0025454566,-0.0161339752,-1.3835994005,-1.6711841822,-0.0016361006,-0.0013658849,0.0855015889,-0.2786898613,0.0006972015,0.2973558307,0.0248030983,-0.0021284113,0.0183518250,0.2329393476,-0.0442055613,-4.1881928444,-4.9547801018,0.5783613920,3.9902002811,-3.9886429310
2022,05,04,22:30:23.986,-0.0029291876,-0.0396920964,-3.7391622066,-0.0173197165,-0.0025911096,-0.0364791192,-0.0026996892,-0.0194542967,-1.7184706926,-0.0024911668,-0.0142560378,-1.2066155672,-0.0024924006,-0.0159859117,-1.3817449808,-1.6712224483,-0.0017064307,-0.0013424415,0.0859482884,-0.2779186964,0.0007329871,0.2975594401,0.0250054728,-0.0021136052,0.0183752701,0.2329825461,-0.0441056192,-4.1756296158,-4.9186034203,0.5783428550,3.9902300835,-3.9887392521
2022,05,04,22:30:24.101,-0.0029304214,-0.0397698283,-3.7520794868,-0.0173456278,-0.0026651411,-0.0366444588,-0.0024566185,-0.0192790888,-1.7153539658,-0.0025392873,-0.0142745459,-1.2085440159,-0.0024109657,-0.0159760416,-1.3807183504,-1.6711422205,-0.0016903905,-0.0013917959,0.0861556008,-0.2780494988,0.0005935468,0.2971867919,0.0248203743,-0.0021456855,0.0179322697,0.2330133915,-0.0439612567,-4.1629528999,-4.8885512352,0.5783687830,3.9901683331,-3.9886786938
2022,05,04,22:30:24.215,-0.0028823009,-0.0394798703,-3.7400100231,-0.0172802322,-0.0025368195,-0.0353797488,-0.0025047392,-0.0194715708,-1.7202684879,-0.0024862313,-0.0142967552,-1.2093139887,-0.0024738926,-0.0161611196,-1.3880672455,-1.6711989641,-0.0017681238,-0.0014658277,0.0852893442,-0.2779865563,0.0006268644,0.2965784371,0.0248487554,-0.0022888135,0.0175250545,0.2328171879,-0.0441191904,-4.1691789627,-4.8801007271,0.5783947110,3.9902880192,-3.9885306358
2022,05,04,22:30:24.330,-0.0027885274,-0.0395539030,-3.7397310734,-0.0172901042,-0.0024800620,-0.0346184559,-0.0025553275,-0.0194370225,-1.7209804058,-0.0024047964,-0.0141992802,-1.2008953094,-0.0025331180,-0.0160932578,-1.3821742535,-1.6712594032,-0.0018236475,-0.0014596584,0.0851202831,-0.2778126001,0.0006194605,0.2964500785,0.0248598624,-0.0022283541,0.0176274758,0.2330318987,-0.0437885150,-4.1520605087,-4.8365721703,0.5784045458,3.9903559685,-3.9886231422
2022,05,04,22:30:24.444,-0.0028255433,-0.0394021384,-3.7286646366,-0.0171938632,-0.0026231899,-0.0344926044,-0.0025405211,-0.0192901939,-1.7092365026,-0.0025713677,-0.0143448757,-1.2073533535,-0.0025565613,-0.0160833877,-1.3821212053,-1.6712706089,-0.0017545513,-0.0014547230,0.0850215703,-0.2781000733,0.0005775050,0.2966586351,0.0249696877,-0.0020913954,0.0181988105,0.2333120108,-0.0438785888,-4.1585259438,-4.8312630653,0.5784280300,3.9902915955,-3.9886133671
2022,05,04,22:30:24.558,-0.0027897612,-0.0395403318,-3.7388427258,-0.0173863452,-0.0025763032,-0.0351959057,-0.0026120851,-0.0193753298,-1.7133218050,-0.0025701339,-0.0144127384,-1.2083762884,-0.0026083835,-0.0161290392,-1.3811823130,-1.6712335348,-0.0017644222,-0.0014337472,0.0852412134,-0.2779421508,0.0007403910,0.2975113094,0.0251239352,-0.0021247098,0.0185011365,0.2334823012,-0.0438551456,-4.1578989029,-4.8214340210,0.5784304738,3.9903299809,-3.9886441231
