%Mission: 
%Operator: 
%Time: 2022,05,06,19:25:14.104
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_192514_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,19:25:14.104,-0.0024084980,-0.0298212022,-2.8728284836,-0.0183512252,-0.0022369912,-0.1095755547,-0.0023122567,-0.0146656800,-1.3604941368,-0.0024084980,-0.0377796106,-3.6689469814,-0.0022752408,-0.0152110467,-1.4074190855,-1.6689668894,-0.0024788282,0.0894305930,9.0304489136,3.5763700008,0.1326496899,10.1216945648,9.1777143478,0.0645386502,6.5322799683,10.1216945648,6.6790809631,10.1216945648,9.7199115753,0.5960320234,3.9685957432,-3.9981424809
2022,05,06,19:25:14.603,-0.0023998609,-0.0296928808,-2.8672106266,-0.0184462313,-0.0022456283,-0.1103096977,-0.0022505636,-0.0148618640,-1.3689140081,-0.0024911668,-0.0376759656,-3.6513607502,-0.0022616684,-0.0151567571,-1.3997679949,-1.6690162420,-0.0024961021,0.0894009769,9.0335769653,3.5755467415,0.1326805353,10.1216945648,9.1802377701,0.0644251257,6.5302252769,10.1216945648,6.6779618263,10.1216945648,9.7317724228,0.5957087278,3.9684934616,-3.9983496666
2022,05,06,19:25:15.103,-0.0025614968,-0.0298273712,-2.8690490723,-0.0188595764,-0.0025763032,-0.1169404760,-0.0025392873,-0.0150420079,-1.3558449745,-0.0026787138,-0.0374390632,-3.6190001965,-0.0023468048,-0.0150444750,-1.3959553242,-1.6689484119,-0.0024701911,0.0892269909,9.0305948257,3.5793943405,0.1319228709,10.1216945648,9.1803245544,0.0641400740,6.5282568932,10.1216945648,6.6781539917,10.1216945648,9.7406034470,0.5955693126,3.9683156013,-3.9985213280
2022,05,06,19:25:15.603,-0.0028872362,-0.0301802568,-2.8734121323,-0.0189866628,-0.0028465188,-0.1229999661,-0.0028958733,-0.0152048776,-1.3673211336,-0.0030254289,-0.0377314910,-3.6174418926,-0.0028428172,-0.0157255661,-1.4137253761,-1.6694703102,-0.0029723728,0.0889579803,9.0276727676,3.5792834759,0.1318229139,10.1216945648,9.1808662415,0.0638932735,6.5254807472,10.1216945648,6.6797175407,10.1216945648,9.7464704514,0.5952064991,3.9680428505,-3.9987199306
2022,05,06,19:25:16.104,-0.0029353569,-0.0303813759,-2.8813607693,-0.0188028179,-0.0026700767,-0.1188171804,-0.0027330036,-0.0152307888,-1.3733115196,-0.0029600342,-0.0376204439,-3.6076757908,-0.0027243665,-0.0155293830,-1.4050328732,-1.6693469286,-0.0028317126,0.0890998915,9.0312051773,3.5824325085,0.1320549101,10.1216945648,9.1832914352,0.0641758591,6.5303139687,10.1216945648,6.6806206703,10.1216945648,9.7476806641,0.5954829454,3.9683625698,-3.9984805584
2022,05,06,19:25:16.603,-0.0028193740,-0.0302814338,-2.8881962299,-0.0189027600,-0.0026589718,-0.1179522425,-0.0026663751,-0.0151394829,-1.3601424694,-0.0028711960,-0.0372231379,-3.5715286732,-0.0027107941,-0.0154368430,-1.3975001574,-1.6693259478,-0.0028255433,0.0891418457,9.0324583054,3.5853557587,0.1320252866,10.1216945648,9.1847610474,0.0642165840,6.5324525833,10.1216945648,6.6824522018,10.1216945648,9.7493715286,0.5953841805,3.9683909416,-3.9984941483
2022,05,06,19:25:17.104,-0.0027934627,-0.0302801989,-2.8842034340,-0.0188299622,-0.0026367623,-0.1177832037,-0.0026885846,-0.0149519360,-1.3485157490,-0.0028810671,-0.0371663794,-3.5683920383,-0.0026848831,-0.0154010616,-1.3977603912,-1.6693334579,-0.0028045676,0.0891295001,9.0340414047,3.5878977776,0.1320647746,10.1216945648,9.1854867935,0.0641931370,6.5322241783,10.1216945648,6.6816945076,10.1216945648,9.7520589828,0.5953903794,3.9684131145,-3.9984743595
2022,05,06,19:25:17.605,-0.0028045676,-0.0302086361,-2.8755788803,-0.0188126881,-0.0026515687,-0.1180090010,-0.0026762460,-0.0152579332,-1.3782370090,-0.0028810671,-0.0370874144,-3.5593578815,-0.0026873506,-0.0154504161,-1.3983070850,-1.6693185568,-0.0028452850,0.0891529471,9.0362911224,3.5833258629,0.1310726553,10.1216945648,9.1870565414,0.0642153472,6.5309991837,10.1216945648,6.6808304787,10.1216945648,9.7553100586,0.5953187943,3.9684007168,-3.9984841347
2022,05,06,19:25:18.104,-0.0028045676,-0.0303924810,-2.9034283161,-0.0188756157,-0.0026367623,-0.1190244630,-0.0026787138,-0.0153455371,-1.3786047697,-0.0028736638,-0.0368690193,-3.5346546173,-0.0026959877,-0.0154096987,-1.3914085627,-1.6693778038,-0.0028193740,0.0891788602,9.0373573303,3.5894932747,0.1308579445,10.1216945648,9.1872501373,0.0642153472,6.5325045586,10.1216945648,6.6823239326,10.1216945648,9.7617683411,0.5952546000,3.9684464931,-3.9984631538
2022,05,06,19:25:18.605,-0.0027749548,-0.0302925371,-2.8907775879,-0.0189533494,-0.0026268915,-0.1185778081,-0.0026688427,-0.0150074596,-1.3542803526,-0.0028995748,-0.0366666690,-3.5223555565,-0.0026811813,-0.0155392541,-1.4106185436,-1.6693630219,-0.0028107369,0.0889098570,9.0109052658,3.5867612362,0.1308579445,10.1216945648,9.1596412659,0.0642560646,6.5319428444,10.1216945648,6.6817054749,10.1216945648,9.7564802170,0.5952200890,3.9684131145,-3.9985299110
