YYYY,MM,DD,hh,mm,ss,msec,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,06,38,39,383,tr,0.000,0.000000,0.069453,300.000000,-0.00355,-0.00807,-0.61709,-0.00336,-0.01273,-1.09333,-0.00343,-0.01496,-1.30872,-0.00335,-0.01551,-1.36625,-0.00335,-0.01220,-1.03356,-1.67086,-0.00338,0.13112,10.12169,5.67356,0.17087,10.12169,10.12169,0.08686,8.83949,10.12169,9.00480,10.12169,9.87275,0.57547,3.97096,-4.00127
2022,05,08,06,38,43,334,tr,0.000,0.000000,0.069468,300.000000,-0.00345,-0.00821,-0.62859,-0.00343,-0.01274,-1.09101,-0.00345,-0.01489,-1.30482,-0.00342,-0.01580,-1.38122,-0.00397,-0.01302,-1.03876,-1.67195,-0.00481,0.12953,10.12169,5.67204,0.16860,10.12169,10.12169,0.08417,8.80035,10.12169,8.99755,10.12169,9.90181,0.57270,3.96819,-4.00391
2022,05,08,06,38,43,448,tr,0.000,0.000000,0.052457,297.546208,-0.00666,-0.01131,-0.69296,-0.00671,-0.01623,-1.19287,-0.00671,-0.01885,-1.45460,-0.00641,-0.01834,-1.43253,-0.00643,-0.01512,-1.09669,-1.67332,-0.00625,0.12837,10.12169,5.67154,0.16828,10.12169,10.12169,0.08428,8.79568,10.12169,9.00151,10.12169,9.79399,0.57346,3.96883,-4.00328
2022,05,08,06,38,43,633,tr,0.000,0.000000,-0.064379,168.077452,-0.00685,-0.01143,-0.71412,-0.00647,-0.01594,-1.18554,-0.00640,-0.01836,-1.43795,-0.00627,-0.01817,-1.41189,-0.00621,-0.01478,-1.08538,-1.67303,-0.00586,0.12883,10.12169,5.66901,0.16851,10.12169,10.12169,0.08425,8.79618,10.12169,8.99947,10.12169,9.80513,0.57351,3.96873,-4.00328
2022,05,08,06,38,43,883,tr,0.000,0.000000,-0.024454,118.725679,-0.00601,-0.01064,-0.69361,-0.00614,-0.01559,-1.17866,-0.00629,-0.01828,-1.42771,-0.00626,-0.01799,-1.40804,-0.00606,-0.01462,-1.08349,-1.67273,-0.00562,0.12929,10.12169,5.66817,0.16895,10.12169,10.12169,0.08501,8.80597,10.12169,9.00204,10.12169,9.82741,0.57420,3.96957,-4.00277
2022,05,08,06,38,44,134,tr,0.000,0.000000,0.217257,56.391780,-0.00636,-0.01118,-0.70776,-0.00608,-0.01546,-1.17518,-0.00611,-0.01805,-1.42754,-0.00593,-0.01771,-1.39990,-0.00591,-0.01456,-1.08442,-1.67270,-0.00561,0.12899,10.12169,5.67141,0.16875,10.12169,10.12169,0.08478,8.80179,10.12169,9.00003,10.12169,9.84664,0.57381,3.96906,-4.00289
2022,05,08,06,38,44,384,tr,0.000,0.000000,-0.037671,44.540606,-0.00585,-0.01065,-0.69525,-0.00597,-0.01543,-1.17296,-0.00602,-0.01811,-1.42605,-0.00598,-0.01769,-1.39780,-0.00606,-0.01465,-1.08230,-1.67289,-0.00558,0.12900,10.12169,5.67465,0.16894,10.12169,10.12169,0.08489,8.80435,10.12169,9.00088,10.12169,9.86883,0.57390,3.96918,-4.00302
2022,05,08,06,38,44,634,tr,0.000,0.000000,-0.060251,19.407048,-0.00654,-0.01124,-0.70561,-0.00628,-0.01582,-1.18355,-0.00627,-0.01842,-1.43742,-0.00605,-0.01789,-1.41422,-0.00607,-0.01469,-1.09535,-1.67289,-0.00577,0.12879,10.12169,5.67440,0.16836,10.12169,10.12169,0.08428,8.79647,10.12169,9.00032,10.12169,9.88523,0.57333,3.96870,-4.00336
2022,05,08,06,38,44,883,tr,0.000,0.000000,-0.027866,26.989482,-0.00672,-0.01155,-0.72356,-0.00702,-0.01643,-1.20002,-0.00690,-0.01918,-1.46555,-0.00699,-0.01873,-1.42480,-0.00696,-0.01572,-1.10162,-1.67356,-0.00650,0.12830,10.12169,5.67311,0.16790,10.12169,10.12169,0.08367,8.78833,10.12169,9.00047,10.12169,9.90212,0.57284,3.96811,-4.00414
2022,05,08,06,38,45,133,tr,0.000,0.000000,-0.225891,20.933080,-0.00729,-0.01198,-0.72979,-0.00710,-0.01649,-1.20048,-0.00709,-0.01926,-1.46790,-0.00702,-0.01879,-1.43116,-0.00701,-0.01570,-1.11631,-1.67369,-0.00662,0.12795,10.12169,5.67274,0.16774,10.12169,10.12169,0.08359,8.78386,10.12169,8.99934,10.12169,9.91409,0.57286,3.96828,-4.00359
