%Mission: MLO2022
%Operator: 
%Time: 2022,05,09,04:41:33.718
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220509_044133_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,wtf,elev_setpoint,azi_setpoint,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,09,04:41:33.886,tr,0.000,0.000000,0.205000,-194.412375,0.00034,-0.00407,-0.40006,0.00036,-0.01018,-1.01352,0.00037,-0.01106,-1.09743,0.00038,-0.01091,-1.08223,0.00040,-0.00905,-0.89489,-1.66898,0.00080,0.00122,0.13613,-0.28244,0.00299,0.31408,0.03843,0.00016,0.03563,0.21236,-0.06357,-6.33543,-7.08140,0.58117,3.98941,-3.98364
2022,05,09,04:41:41.086,tr,0.000,0.000000,0.205854,-181.670218,0.00037,-0.00427,-0.42280,0.00039,-0.01034,-1.02831,0.00032,-0.01100,-1.09660,0.00034,-0.01122,-1.11890,0.00038,-0.00871,-0.86403,-1.66910,0.00073,0.00112,0.13717,-0.28071,0.00288,0.31454,0.04028,0.00012,0.03607,0.21395,-0.06211,-6.17334,-6.93566,0.58092,3.98930,-3.98381
2022,05,09,04:41:41.199,tr,0.000,0.000000,0.213448,-195.913158,0.00021,-0.00421,-0.40942,0.00023,-0.01041,-1.02444,0.00023,-0.01119,-1.10090,0.00022,-0.01141,-1.12083,0.00031,-0.00888,-0.86780,-1.66915,0.00068,0.00108,0.13585,-0.28072,0.00281,0.31328,0.04029,0.00003,0.03468,0.21381,-0.06211,-6.18004,-6.92473,0.58089,3.98924,-3.98376
2022,05,09,04:41:41.387,tr,0.000,0.000000,-0.082707,-131.810706,0.00012,-0.00459,-0.43608,0.00010,-0.01053,-1.03327,0.00019,-0.01144,-1.11443,0.00017,-0.01146,-1.11810,0.00022,-0.00896,-0.86619,-1.66918,0.00057,0.00100,0.13464,-0.28061,0.00277,0.31225,0.04019,-0.00000,0.03389,0.21378,-0.06199,-6.15880,-6.89820,0.58085,3.98925,-3.98385
2022,05,09,04:41:41.637,tr,0.000,0.000000,0.065404,-56.765178,0.00015,-0.00460,-0.43093,0.00010,-0.01064,-1.03944,0.00016,-0.01137,-1.11007,0.00014,-0.01147,-1.12016,0.00017,-0.00905,-0.87730,-1.66917,0.00056,0.00101,0.13437,-0.28074,0.00273,0.31177,0.04043,0.00003,0.03369,0.21366,-0.06194,-6.15657,-6.87389,0.58089,3.98921,-3.98389
2022,05,09,04:41:41.887,tr,0.000,0.000000,-0.034109,-33.207066,0.00011,-0.00463,-0.43771,0.00010,-0.01072,-1.04859,0.00008,-0.01138,-1.11194,0.00013,-0.01149,-1.12109,0.00017,-0.00905,-0.87392,-1.66920,0.00055,0.00100,0.13449,-0.28053,0.00275,0.31203,0.04026,-0.00002,0.03367,0.21399,-0.06197,-6.15259,-6.85128,0.58082,3.98920,-3.98381
2022,05,09,04:41:42.137,tr,0.000,0.000000,0.005555,-26.632085,0.00006,-0.00438,-0.41234,0.00014,-0.01082,-1.05243,0.00007,-0.01141,-1.11195,0.00010,-0.01154,-1.12015,0.00018,-0.00902,-0.87001,-1.66922,0.00058,0.00099,0.13409,-0.28044,0.00274,0.31201,0.04039,-0.00005,0.03346,0.21413,-0.06188,-6.14803,-6.83448,0.58082,3.98921,-3.98389
2022,05,09,04:41:42.386,tr,0.000,0.000000,0.054597,-20.877569,0.00007,-0.00452,-0.42252,0.00007,-0.01078,-1.05226,0.00014,-0.01136,-1.11134,0.00011,-0.01147,-1.11751,0.00016,-0.00906,-0.87199,-1.66924,0.00057,0.00096,0.13446,-0.28048,0.00269,0.31174,0.04059,-0.00005,0.03338,0.21417,-0.06187,-6.14350,-6.81082,0.58085,3.98915,-3.98387
2022,05,09,04:41:42.636,tr,0.000,0.000000,-0.053325,13.342221,0.00004,-0.00448,-0.42510,0.00009,-0.01084,-1.05670,0.00006,-0.01148,-1.11740,0.00010,-0.01145,-1.11577,0.00009,-0.00896,-0.86823,-1.66925,0.00060,0.00101,0.13409,-0.28052,0.00271,0.31172,0.04054,0.00001,0.03339,0.21411,-0.06181,-6.14047,-6.79051,0.58087,3.98920,-3.98381
2022,05,09,04:41:42.887,tr,0.000,0.000000,0.033547,4.617501,0.00004,-0.00446,-0.42111,0.00005,-0.01074,-1.05393,0.00008,-0.01139,-1.11322,0.00011,-0.01147,-1.11556,0.00011,-0.00896,-0.86909,-1.66924,0.00054,0.00098,0.13455,-0.28035,0.00276,0.31183,0.04067,-0.00002,0.03359,0.21412,-0.06178,-6.13391,-6.76983,0.58082,3.98918,-3.98391
2022,05,09,04:41:43.137,tr,0.000,0.000000,0.017237,54.554013,0.00010,-0.00431,-0.41224,0.00018,-0.01067,-1.04762,0.00016,-0.01132,-1.10767,0.00022,-0.01142,-1.11982,0.00023,-0.00882,-0.86506,-1.66917,0.00064,0.00109,0.13597,-0.28026,0.00282,0.31327,0.04077,-0.00001,0.03493,0.21418,-0.06166,-6.13158,-6.75486,0.58090,3.98921,-3.98371
2022,05,09,04:41:43.387,tr,0.000,0.000000,-0.031733,41.419372,0.00023,-0.00428,-0.40914,0.00025,-0.01049,-1.03291,0.00021,-0.01127,-1.10798,0.00019,-0.01141,-1.11871,0.00020,-0.00886,-0.86617,-1.66923,0.00064,0.00102,0.13606,-0.28022,0.00287,0.31357,0.04091,0.00002,0.03532,0.21430,-0.06153,-6.12066,-6.72794,0.58087,3.98928,-3.98378
2022,05,09,04:41:43.636,tr,0.000,0.000000,-0.003610,45.078757,0.00009,-0.00444,-0.42285,0.00011,-0.01055,-1.03289,0.00014,-0.01131,-1.11030,0.00024,-0.01135,-1.11320,0.00022,-0.00898,-0.87050,-1.66918,0.00062,0.00102,0.13512,-0.28007,0.00277,0.31251,0.04068,-0.00005,0.03422,0.21422,-0.06155,-6.11574,-6.72104,0.58081,3.98915,-3.98383
2022,05,09,04:41:43.886,tr,0.000,0.000000,0.039381,19.384911,0.00012,-0.00453,-0.42483,0.00013,-0.01045,-1.02468,0.00012,-0.01132,-1.10561,0.00015,-0.01142,-1.11205,0.00018,-0.00897,-0.87138,-1.66920,0.00055,0.00103,0.13485,-0.28022,0.00275,0.31256,0.04070,-0.00001,0.03445,0.21429,-0.06144,-6.10647,-6.69142,0.58081,3.98920,-3.98384
2022,05,09,04:41:44.136,tr,0.000,0.000000,-0.036389,10.283905,0.00011,-0.00439,-0.41537,0.00013,-0.01052,-1.02616,0.00012,-0.01129,-1.10807,0.00017,-0.01141,-1.11387,0.00018,-0.00895,-0.86622,-1.66922,0.00066,0.00103,0.13498,-0.28000,0.00273,0.31259,0.04067,-0.00003,0.03405,0.21440,-0.06151,-6.11675,-6.69327,0.58081,3.98918,-3.98379
2022,05,09,04:41:44.387,tr,0.000,0.000000,-0.038046,-11.160674,0.00013,-0.00437,-0.41161,0.00019,-0.01054,-1.02795,0.00011,-0.01134,-1.10680,0.00011,-0.01146,-1.11660,0.00014,-0.00895,-0.86613,-1.66919,0.00054,0.00103,0.13477,-0.27999,0.00279,0.31251,0.04083,-0.00002,0.03412,0.21452,-0.06148,-6.11090,-6.67519,0.58082,3.98925,-3.98376
2022,05,09,04:41:44.637,tr,0.000,0.000000,0.038223,22.805254,0.00012,-0.00438,-0.41657,0.00005,-0.01052,-1.03008,0.00014,-0.01129,-1.10484,0.00019,-0.01150,-1.12077,0.00021,-0.00893,-0.86708,-1.66917,0.00058,0.00102,0.13484,-0.28005,0.00271,0.31256,0.04071,-0.00004,0.03430,0.21450,-0.06130,-6.08774,-6.64417,0.58073,3.98911,-3.98390
2022,05,09,04:41:44.887,tr,0.000,0.000000,0.004670,1.211805,-0.00002,-0.00452,-0.41936,0.00002,-0.01060,-1.02576,0.00000,-0.01142,-1.11200,0.00003,-0.01160,-1.12111,0.00001,-0.00908,-0.87051,-1.66924,0.00048,0.00094,0.13306,-0.27982,0.00267,0.31081,0.04074,-0.00017,0.03269,0.21458,-0.06133,-6.08672,-6.63099,0.58073,3.98908,-3.98390
