YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,16,34,07,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00126,-0.02218,-2.10761,-0.00132,-0.03261,-3.14683,-0.00136,-0.02908,-2.79232,-0.00154,-0.04906,-4.79077,-0.00131,-0.02977,-2.86570,-1.66823,-0.00058,0.00042,0.15559,-0.17731,0.00219,0.33749,0.09442,-0.00037,0.07855,0.27375,0.01675,1.79939,0.67992,0.62366,3.98305,-3.98206
2022,05,08,16,34,31,341,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00183,-0.02496,-2.34628,-0.00179,-0.03525,-3.38013,-0.00197,-0.05305,-5.15365,-0.00843,-0.69192,-10.32770,-0.00573,-0.40371,-10.32540,-1.66887,-0.00094,-0.00038,0.11137,-0.18759,0.00179,0.33607,0.04934,-0.00094,0.05455,0.27112,-0.00848,-0.69070,-1.67611,0.62193,3.98258,-3.98129
2022,05,08,16,34,31,454,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02472,-2.32689,-0.00184,-0.03525,-3.37810,-0.00199,-0.05317,-5.17164,-0.00842,-0.69778,-10.33470,-0.00574,-0.40991,-10.31944,-1.66877,-0.00088,-0.00036,0.11105,-0.18789,0.00190,0.33614,0.04854,-0.00098,0.05383,0.27098,-0.00902,-0.73954,-1.69952,0.62194,3.98253,-3.98129
2022,05,08,16,34,31,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00178,-0.02490,-2.33738,-0.00179,-0.03520,-3.37712,-0.00206,-0.05326,-5.17551,-0.00846,-0.70018,-10.33544,-0.00584,-0.41134,-10.32914,-1.66874,-0.00093,-0.00039,0.11072,-0.18777,0.00189,0.33625,0.04839,-0.00097,0.05394,0.27110,-0.00925,-0.76376,-1.70789,0.62193,3.98250,-3.98125
2022,05,08,16,34,31,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00168,-0.02480,-2.33290,-0.00174,-0.03529,-3.38543,-0.00192,-0.05369,-5.22413,-0.00853,-0.71350,-10.32900,-0.00593,-0.41943,-10.29503,-1.66884,-0.00097,-0.00050,0.10961,-0.18789,0.00179,0.33574,0.04770,-0.00098,0.05312,0.27123,-0.00944,-0.79068,-1.71135,0.62198,3.98262,-3.98124
2022,05,08,16,34,32,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02495,-2.34421,-0.00178,-0.03537,-3.39184,-0.00198,-0.05395,-5.24246,-0.00865,-0.71758,-10.34223,-0.00581,-0.41929,-10.32031,-1.66877,-0.00094,-0.00037,0.10981,-0.18798,0.00187,0.33635,0.04751,-0.00098,0.05358,0.27102,-0.00961,-0.80849,-1.71736,0.62196,3.98261,-3.98126
2022,05,08,16,34,32,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00167,-0.02503,-2.35545,-0.00177,-0.03530,-3.39204,-0.00196,-0.05386,-5.24179,-0.00866,-0.71938,-10.33071,-0.00589,-0.42065,-10.29421,-1.66881,-0.00103,-0.00042,0.10883,-0.18779,0.00175,0.33548,0.04676,-0.00106,0.05267,0.27106,-0.00995,-0.84407,-1.72176,0.62193,3.98271,-3.98120
2022,05,08,16,34,32,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00175,-0.02513,-2.36261,-0.00181,-0.03539,-3.38895,-0.00200,-0.05411,-5.26515,-0.00878,-0.72659,-10.33801,-0.00596,-0.42668,-10.32165,-1.66880,-0.00096,-0.00041,0.10858,-0.18786,0.00189,0.33624,0.04617,-0.00095,0.05280,0.27104,-0.01038,-0.87713,-1.73803,0.62187,3.98255,-3.98125
2022,05,08,16,34,32,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00171,-0.02509,-2.36143,-0.00174,-0.03549,-3.40300,-0.00199,-0.05465,-5.31740,-0.00888,-0.74130,-10.32638,-0.00609,-0.43582,-10.29129,-1.66880,-0.00101,-0.00041,0.10761,-0.18806,0.00180,0.33557,0.04563,-0.00105,0.05206,0.27106,-0.01061,-0.90252,-1.74533,0.62195,3.98258,-3.98126
2022,05,08,16,34,33,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00173,-0.02510,-2.36092,-0.00184,-0.03551,-3.40200,-0.00200,-0.05499,-5.35287,-0.00900,-0.74991,-10.33299,-0.00607,-0.43972,-10.33116,-1.66881,-0.00088,-0.00041,0.10801,-0.18926,0.00183,0.33686,0.04531,-0.00094,0.05288,0.27115,-0.01088,-0.92777,-1.74930,0.62187,3.98265,-3.98121
