%Mission: 
%Operator: 
%Time: 2022,05,10,03:57:07.408
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220510_035707_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,10,03:57:07.411,-0.00137,-0.01464,-1.45387,-0.00139,-0.01342,-1.33241,-0.00131,-0.01227,-1.20343,-0.00135,-0.01484,-1.46707,-0.00140,-0.01223,-1.20497,-1.66882,-0.00152,0.14765,10.12169,10.12169,0.14260,10.12169,10.12169,0.11416,10.12169,10.12169,10.12169,10.12169,9.80535,0.58102,3.96944,-3.99670,-2.77239,-3.30453,-4.08089,0.31019,0.29431,0.29599,0.28580,0.29295
2022,05,10,03:57:07.661,-0.00140,-0.01435,-1.41807,-0.00141,-0.01344,-1.32580,-0.00135,-0.01229,-1.21039,-0.00137,-0.01485,-1.46523,-0.00137,-0.01222,-1.20470,-1.66882,-0.00146,0.14767,10.12169,10.12169,0.14251,10.12169,10.12169,0.11417,10.12169,10.12169,10.12169,10.12169,9.81065,0.58100,3.96945,-3.99673,-2.75321,-3.26410,-4.04188,0.31034,0.29425,0.29601,0.28577,0.29304
2022,05,10,03:57:07.911,-0.00141,-0.01466,-1.45000,-0.00143,-0.01351,-1.33562,-0.00135,-0.01229,-1.20703,-0.00137,-0.01494,-1.47521,-0.00137,-0.01225,-1.20587,-1.66879,-0.00153,0.14761,10.12169,10.12169,0.14245,10.12169,10.12169,0.11448,10.12169,10.12169,10.12169,10.12169,9.82891,0.58100,3.96943,-3.99677,-2.74418,-3.24306,-4.00385,0.31024,0.29432,0.29606,0.28580,0.29305
2022,05,10,03:57:08.162,-0.00141,-0.01453,-1.43477,-0.00138,-0.01339,-1.32676,-0.00137,-0.01229,-1.21345,-0.00141,-0.01498,-1.47778,-0.00133,-0.01216,-1.19840,-1.66878,-0.00154,0.14764,10.12169,10.12169,0.14246,10.12169,10.12169,0.11451,10.12169,10.12169,10.12169,10.12169,9.84045,0.58101,3.96943,-3.99676,-2.73286,-3.21935,-3.96401,0.31024,0.29424,0.29606,0.28582,0.29300
2022,05,10,03:57:08.411,-0.00139,-0.01464,-1.44655,-0.00138,-0.01344,-1.33106,-0.00137,-0.01221,-1.20784,-0.00142,-0.01494,-1.47753,-0.00134,-0.01214,-1.19553,-1.66884,-0.00154,0.14767,10.12169,10.12169,0.14244,10.12169,10.12169,0.11446,10.12169,10.12169,10.12169,10.12169,9.85597,0.58100,3.96946,-3.99672,-2.72397,-3.20176,-3.93611,0.31020,0.29429,0.29602,0.28581,0.29301
2022,05,10,03:57:08.661,-0.00142,-0.01461,-1.44651,-0.00138,-0.01343,-1.33099,-0.00138,-0.01223,-1.20774,-0.00139,-0.01486,-1.46842,-0.00138,-0.01210,-1.19835,-1.66881,-0.00150,0.14779,10.12169,10.12169,0.14247,10.12169,10.12169,0.11446,10.12169,10.12169,10.12169,10.12169,9.86706,0.58095,3.96946,-3.99675,-2.70756,-3.17513,-3.89719,0.31012,0.29427,0.29598,0.28583,0.29293
2022,05,10,03:57:08.912,-0.00140,-0.01457,-1.44328,-0.00135,-0.01346,-1.33242,-0.00138,-0.01223,-1.20639,-0.00139,-0.01497,-1.47541,-0.00139,-0.01225,-1.20618,-1.66881,-0.00154,0.14776,10.12169,10.12169,0.14251,10.12169,10.12169,0.11450,10.12169,10.12169,10.12169,10.12169,9.88315,0.58095,3.96944,-3.99672,-2.69649,-3.15508,-3.86226,0.31014,0.29428,0.29602,0.28584,0.29298
2022,05,10,03:57:09.163,-0.00142,-0.01475,-1.45523,-0.00135,-0.01352,-1.33469,-0.00139,-0.01228,-1.21131,-0.00143,-0.01487,-1.47429,-0.00135,-0.01219,-1.20335,-1.66880,-0.00151,0.14771,10.12169,10.12169,0.14255,10.12169,10.12169,0.11448,10.12169,10.12169,10.12169,10.12169,9.89419,0.58097,3.96944,-3.99673,-2.69803,-3.14397,-3.83761,0.31028,0.29429,0.29604,0.28576,0.29305
2022,05,10,03:57:09.412,-0.00142,-0.01449,-1.43568,-0.00135,-0.01350,-1.33538,-0.00138,-0.01234,-1.21411,-0.00139,-0.01492,-1.47502,-0.00137,-0.01218,-1.20117,-1.66883,-0.00151,0.14775,10.12169,10.12169,0.14250,10.12169,10.12169,0.11451,10.12169,10.12169,10.12169,10.12169,9.90848,0.58095,3.96944,-3.99671,-2.68992,-3.13109,-3.81090,0.31027,0.29432,0.29602,0.28585,0.29304
2022,05,10,03:57:09.662,-0.00142,-0.01473,-1.45035,-0.00139,-0.01341,-1.32847,-0.00135,-0.01238,-1.21717,-0.00139,-0.01495,-1.47757,-0.00136,-0.01225,-1.20311,-1.66879,-0.00153,0.14769,10.12169,10.12169,0.14254,10.12169,10.12169,0.11448,10.12169,10.12169,10.12169,10.12169,9.90965,0.58094,3.96942,-3.99670,-2.67131,-3.11183,-3.78222,0.31004,0.29425,0.29597,0.28581,0.29299
