%Mission: MLO2022
%Operator: 
%Time: 2022,05,11,00:14:41.110
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220511_001441_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,00:14:41.135,tr,0.000,0.000000,-0.000000,0.000000,-0.23120,-0.00065,-0.00042,-0.20280,-0.00069,-0.00044,-0.21399,-0.00063,-0.00050,-0.22627,-0.00074,-0.00047,-0.22923,-0.00073,-0.00053,-0.00042,-0.00055,-0.21269,-0.00047,-0.00057,-0.20032,-0.00041,-0.00062,-0.21253,-0.00052,-0.00060,-0.00059,-0.00047,-0.75191,-0.00041,-0.00040,-0.00043,-1.34466,-1.95958,-2.78132,-0.00031,-0.00016,-0.00023,-0.00030,-0.00032
2022,05,11,00:14:43.635,tr,0.000,0.000000,-0.000000,0.000000,-0.23119,-0.00063,-0.00045,-0.20274,-0.00070,-0.00044,-0.21394,-0.00065,-0.00050,-0.22623,-0.00065,-0.00047,-0.22912,-0.00066,-0.00047,-0.00036,-0.00058,-0.21265,-0.00045,-0.00056,-0.20025,-0.00048,-0.00060,-0.21253,-0.00052,-0.00063,-0.00056,-0.00044,-0.75908,-0.00049,-0.00042,-0.00040,-1.33492,-1.93485,-2.73796,-0.00030,-0.00009,-0.00020,-0.00013,-0.00027
2022,05,11,00:14:43.884,tr,0.000,0.000000,-0.000000,0.000000,-0.23127,-0.00070,-0.00046,-0.20271,-0.00069,-0.00048,-0.21395,-0.00071,-0.00059,-0.22629,-0.00073,-0.00052,-0.22919,-0.00074,-0.00057,-0.00040,-0.00064,-0.21268,-0.00051,-0.00060,-0.20032,-0.00053,-0.00060,-0.21254,-0.00055,-0.00059,-0.00066,-0.00052,-0.75366,-0.00042,-0.00048,-0.00037,-1.32599,-1.91051,-2.70680,-0.00038,-0.00019,-0.00028,-0.00022,-0.00022
2022,05,11,00:14:44.134,tr,0.000,0.000000,-0.000000,0.000000,-0.23142,-0.00070,-0.00052,-0.20281,-0.00073,-0.00057,-0.21407,-0.00079,-0.00061,-0.22623,-0.00080,-0.00055,-0.22927,-0.00079,-0.00053,-0.00039,-0.00057,-0.21269,-0.00055,-0.00066,-0.20035,-0.00061,-0.00068,-0.21264,-0.00064,-0.00074,-0.00070,-0.00054,-0.73986,-0.00039,-0.00044,-0.00043,-1.31256,-1.88910,-2.67297,-0.00035,-0.00012,-0.00017,-0.00022,-0.00028
2022,05,11,00:14:44.385,tr,0.000,0.000000,-0.000000,0.000000,-0.23161,-0.00079,-0.00058,-0.20284,-0.00078,-0.00056,-0.21408,-0.00084,-0.00068,-0.22628,-0.00083,-0.00061,-0.22931,-0.00084,-0.00061,-0.00042,-0.00057,-0.21274,-0.00062,-0.00073,-0.20041,-0.00062,-0.00065,-0.21268,-0.00063,-0.00070,-0.00074,-0.00060,-0.72414,-0.00045,-0.00040,-0.00044,-1.30427,-1.87778,-2.64758,-0.00028,-0.00019,-0.00022,-0.00025,-0.00022
2022,05,11,00:14:44.635,tr,0.000,0.000000,-0.000000,0.000000,-0.23162,-0.00080,-0.00059,-0.20293,-0.00080,-0.00057,-0.21422,-0.00084,-0.00076,-0.22628,-0.00085,-0.00061,-0.22936,-0.00084,-0.00062,-0.00042,-0.00058,-0.21278,-0.00062,-0.00070,-0.20048,-0.00065,-0.00071,-0.21278,-0.00075,-0.00070,-0.00077,-0.00061,-0.70864,-0.00042,-0.00044,-0.00050,-1.29239,-1.85521,-2.61211,-0.00025,-0.00019,-0.00020,-0.00019,-0.00020
2022,05,11,00:14:44.885,tr,0.000,0.000000,-0.000000,0.000000,-0.23167,-0.00083,-0.00058,-0.20297,-0.00084,-0.00059,-0.21420,-0.00083,-0.00079,-0.22630,-0.00085,-0.00066,-0.22940,-0.00089,-0.00062,-0.00039,-0.00053,-0.21293,-0.00067,-0.00071,-0.20053,-0.00064,-0.00071,-0.21279,-0.00076,-0.00071,-0.00075,-0.00065,-0.69391,-0.00044,-0.00047,-0.00039,-1.28741,-1.84823,-2.59602,-0.00035,-0.00014,-0.00027,-0.00022,-0.00019
2022,05,11,00:14:45.135,tr,0.000,0.000000,-0.000000,0.000000,-0.23188,-0.00085,-0.00063,-0.20301,-0.00086,-0.00059,-0.21418,-0.00091,-0.00071,-0.22626,-0.00083,-0.00065,-0.22945,-0.00082,-0.00063,-0.00035,-0.00051,-0.21293,-0.00063,-0.00074,-0.20055,-0.00066,-0.00080,-0.21284,-0.00079,-0.00072,-0.00073,-0.00062,-0.69096,-0.00042,-0.00046,-0.00045,-1.27176,-1.83169,-2.55462,-0.00030,-0.00011,-0.00020,-0.00020,-0.00018
2022,05,11,00:14:45.384,tr,0.000,0.000000,-0.000000,0.000000,-0.23191,-0.00079,-0.00062,-0.20304,-0.00083,-0.00057,-0.21428,-0.00088,-0.00077,-0.22640,-0.00088,-0.00067,-0.22953,-0.00091,-0.00064,-0.00042,-0.00057,-0.21297,-0.00069,-0.00074,-0.20061,-0.00061,-0.00073,-0.21291,-0.00080,-0.00070,-0.00070,-0.00062,-0.67653,-0.00034,-0.00043,-0.00044,-1.25897,-1.81395,-2.52700,-0.00033,-0.00020,-0.00022,-0.00026,-0.00020
2022,05,11,00:14:45.635,tr,0.000,0.000000,-0.000000,0.000000,-0.23207,-0.00089,-0.00060,-0.20308,-0.00087,-0.00065,-0.21432,-0.00091,-0.00078,-0.22636,-0.00087,-0.00063,-0.22954,-0.00086,-0.00063,-0.00039,-0.00052,-0.21299,-0.00062,-0.00075,-0.20064,-0.00068,-0.00075,-0.21288,-0.00079,-0.00075,-0.00080,-0.00068,-0.65972,-0.00045,-0.00046,-0.00041,-1.25023,-1.79696,-2.50126,-0.00024,-0.00010,-0.00013,-0.00018,-0.00020
