YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,00,16,40,134,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26377,-0.00071,-0.00047,-0.21537,-0.00062,-0.00043,-0.22743,-0.00064,-0.00047,-0.23171,-0.00068,-0.00046,-0.24303,-0.00062,-0.00044,-0.00036,-0.00055,-0.22605,-0.00046,-0.00057,-0.21488,-0.00044,-0.00059,-0.22874,-0.00054,-0.00056,-0.00062,-0.00047,-0.72472,-0.00041,-0.00048,-0.00048,-1.32012,-1.90472,-2.69502,-0.00028,-0.00018,-0.00016,-0.00018,-0.00025
2022,05,11,00,16,40,935,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26373,-0.00066,-0.00045,-0.21543,-0.00066,-0.00047,-0.22745,-0.00062,-0.00053,-0.23164,-0.00066,-0.00046,-0.24308,-0.00072,-0.00046,-0.00037,-0.00050,-0.22603,-0.00044,-0.00061,-0.21490,-0.00043,-0.00059,-0.22881,-0.00057,-0.00060,-0.00066,-0.00049,-0.74564,-0.00045,-0.00042,-0.00044,-1.31551,-1.89612,-2.68085,-0.00031,-0.00015,-0.00014,-0.00017,-0.00032
2022,05,11,00,16,41,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26384,-0.00072,-0.00055,-0.21544,-0.00075,-0.00052,-0.22750,-0.00079,-0.00057,-0.23163,-0.00074,-0.00054,-0.24311,-0.00076,-0.00054,-0.00041,-0.00055,-0.22615,-0.00057,-0.00065,-0.21497,-0.00057,-0.00063,-0.22885,-0.00064,-0.00069,-0.00074,-0.00056,-0.73284,-0.00041,-0.00040,-0.00043,-1.30886,-1.88338,-2.64896,-0.00025,-0.00016,-0.00018,-0.00023,-0.00022
2022,05,11,00,16,41,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26395,-0.00076,-0.00052,-0.21545,-0.00077,-0.00050,-0.22759,-0.00082,-0.00070,-0.23178,-0.00077,-0.00056,-0.24317,-0.00083,-0.00059,-0.00040,-0.00058,-0.22615,-0.00063,-0.00071,-0.21499,-0.00059,-0.00065,-0.22887,-0.00064,-0.00069,-0.00072,-0.00057,-0.71758,-0.00045,-0.00039,-0.00047,-1.29685,-1.86109,-2.62802,-0.00029,-0.00016,-0.00023,-0.00020,-0.00033
2022,05,11,00,16,41,634,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26405,-0.00081,-0.00056,-0.21560,-0.00083,-0.00054,-0.22758,-0.00082,-0.00071,-0.23176,-0.00081,-0.00059,-0.24317,-0.00083,-0.00063,-0.00039,-0.00056,-0.22625,-0.00060,-0.00064,-0.21509,-0.00068,-0.00076,-0.22888,-0.00071,-0.00073,-0.00073,-0.00062,-0.70159,-0.00051,-0.00041,-0.00047,-1.28305,-1.84545,-2.58546,-0.00023,-0.00017,-0.00021,-0.00020,-0.00027
2022,05,11,00,16,41,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26411,-0.00077,-0.00053,-0.21555,-0.00082,-0.00056,-0.22760,-0.00085,-0.00073,-0.23181,-0.00086,-0.00062,-0.24326,-0.00084,-0.00063,-0.00040,-0.00059,-0.22626,-0.00066,-0.00074,-0.21505,-0.00062,-0.00074,-0.22893,-0.00079,-0.00072,-0.00078,-0.00062,-0.69209,-0.00046,-0.00043,-0.00041,-1.27442,-1.83009,-2.57079,-0.00030,-0.00010,-0.00020,-0.00017,-0.00029
2022,05,11,00,16,42,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26424,-0.00087,-0.00061,-0.21560,-0.00081,-0.00066,-0.22767,-0.00086,-0.00074,-0.23181,-0.00089,-0.00063,-0.24331,-0.00088,-0.00061,-0.00042,-0.00054,-0.22625,-0.00064,-0.00072,-0.21517,-0.00067,-0.00070,-0.22895,-0.00074,-0.00072,-0.00081,-0.00059,-0.67558,-0.00044,-0.00042,-0.00048,-1.26264,-1.81318,-2.52610,-0.00030,-0.00011,-0.00013,-0.00016,-0.00019
2022,05,11,00,16,42,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26433,-0.00079,-0.00058,-0.21561,-0.00083,-0.00058,-0.22774,-0.00082,-0.00071,-0.23180,-0.00092,-0.00063,-0.24338,-0.00091,-0.00065,-0.00041,-0.00059,-0.22635,-0.00067,-0.00076,-0.21514,-0.00066,-0.00073,-0.22900,-0.00076,-0.00071,-0.00071,-0.00059,-0.65962,-0.00044,-0.00042,-0.00042,-1.25331,-1.80299,-2.50870,-0.00034,-0.00018,-0.00023,-0.00018,-0.00024
2022,05,11,00,16,42,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26438,-0.00089,-0.00063,-0.21566,-0.00088,-0.00061,-0.22775,-0.00084,-0.00075,-0.23180,-0.00090,-0.00063,-0.24336,-0.00089,-0.00059,-0.00039,-0.00050,-0.22636,-0.00067,-0.00071,-0.21529,-0.00069,-0.00079,-0.22910,-0.00078,-0.00072,-0.00080,-0.00062,-0.65008,-0.00039,-0.00042,-0.00045,-1.24359,-1.78804,-2.47152,-0.00024,-0.00012,-0.00016,-0.00019,-0.00017
2022,05,11,00,16,42,884,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26445,-0.00078,-0.00059,-0.21573,-0.00081,-0.00066,-0.22774,-0.00093,-0.00072,-0.23188,-0.00087,-0.00064,-0.24345,-0.00088,-0.00071,-0.00037,-0.00059,-0.22648,-0.00063,-0.00070,-0.21524,-0.00070,-0.00075,-0.22913,-0.00078,-0.00074,-0.00076,-0.00061,-0.63733,-0.00040,-0.00039,-0.00043,-1.24075,-1.78304,-2.45690,-0.00029,-0.00018,-0.00017,-0.00021,-0.00019
2022,05,11,00,16,43,134,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26459,-0.00086,-0.00064,-0.21578,-0.00091,-0.00066,-0.22779,-0.00088,-0.00080,-0.23184,-0.00091,-0.00063,-0.24349,-0.00088,-0.00068,-0.00035,-0.00055,-0.22645,-0.00068,-0.00074,-0.21530,-0.00065,-0.00078,-0.22920,-0.00087,-0.00069,-0.00077,-0.00068,-0.63335,-0.00042,-0.00040,-0.00045,-1.22560,-1.76887,-2.42819,-0.00023,-0.00008,-0.00018,-0.00021,-0.00011
2022,05,11,00,16,43,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26464,-0.00087,-0.00063,-0.21582,-0.00089,-0.00065,-0.22787,-0.00090,-0.00081,-0.23184,-0.00090,-0.00066,-0.24349,-0.00090,-0.00065,-0.00039,-0.00053,-0.22645,-0.00062,-0.00074,-0.21540,-0.00068,-0.00080,-0.22921,-0.00083,-0.00075,-0.00077,-0.00063,-0.62244,-0.00043,-0.00042,-0.00043,-1.22132,-1.76687,-2.42163,-0.00018,-0.00005,-0.00015,-0.00021,-0.00018
2022,05,11,00,16,43,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26473,-0.00085,-0.00061,-0.21582,-0.00088,-0.00061,-0.22795,-0.00095,-0.00076,-0.23186,-0.00089,-0.00067,-0.24355,-0.00090,-0.00067,-0.00039,-0.00057,-0.22652,-0.00068,-0.00076,-0.21535,-0.00065,-0.00070,-0.22924,-0.00075,-0.00068,-0.00075,-0.00062,-0.60582,-0.00039,-0.00036,-0.00044,-1.21692,-1.75619,-2.41293,-0.00025,-0.00018,-0.00015,-0.00017,-0.00020
2022,05,11,00,16,43,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26482,-0.00087,-0.00062,-0.21589,-0.00086,-0.00059,-0.22792,-0.00091,-0.00080,-0.23188,-0.00085,-0.00066,-0.24356,-0.00090,-0.00068,-0.00039,-0.00053,-0.22653,-0.00069,-0.00075,-0.21545,-0.00067,-0.00071,-0.22929,-0.00079,-0.00076,-0.00076,-0.00066,-0.60364,-0.00046,-0.00042,-0.00045,-1.21204,-1.75165,-2.39299,-0.00014,-0.00017,-0.00007,-0.00016,-0.00015
2022,05,11,00,16,44,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26488,-0.00082,-0.00060,-0.21595,-0.00086,-0.00066,-0.22803,-0.00094,-0.00082,-0.23198,-0.00089,-0.00072,-0.24366,-0.00087,-0.00063,-0.00038,-0.00058,-0.22662,-0.00072,-0.00071,-0.21545,-0.00069,-0.00076,-0.22937,-0.00080,-0.00070,-0.00074,-0.00064,-0.58963,-0.00039,-0.00034,-0.00043,-1.20892,-1.74756,-2.39162,-0.00024,-0.00012,-0.00013,-0.00016,-0.00019
2022,05,11,00,16,44,384,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26499,-0.00083,-0.00057,-0.21598,-0.00086,-0.00063,-0.22803,-0.00090,-0.00080,-0.23191,-0.00089,-0.00062,-0.24364,-0.00087,-0.00065,-0.00039,-0.00056,-0.22661,-0.00062,-0.00078,-0.21558,-0.00063,-0.00078,-0.22939,-0.00084,-0.00074,-0.00078,-0.00065,-0.58678,-0.00040,-0.00049,-0.00049,-1.20333,-1.73859,-2.36925,-0.00017,-0.00010,-0.00009,-0.00014,-0.00010
2022,05,11,00,16,44,634,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26509,-0.00084,-0.00063,-0.21597,-0.00087,-0.00065,-0.22806,-0.00091,-0.00081,-0.23198,-0.00092,-0.00066,-0.24369,-0.00092,-0.00063,-0.00044,-0.00063,-0.22669,-0.00067,-0.00075,-0.21555,-0.00066,-0.00071,-0.22944,-0.00075,-0.00071,-0.00075,-0.00060,-0.57379,-0.00034,-0.00036,-0.00041,-1.20022,-1.73274,-2.36896,-0.00016,-0.00019,-0.00009,-0.00014,-0.00017
