%Mission: MLO2022
%Operator: 
%Time: 2022,05,14,20:41:43.918
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220514_204143_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,14,20:41:44.130,sun,0.000,0.000000,0.309373,19.784032,0.20449,-0.00090,-0.00080,0.18977,-0.00089,-0.00078,0.19339,-0.00099,-0.00089,0.19027,-0.00094,-0.00078,0.20539,-0.00084,-0.00075,-0.00036,-0.00059,0.28849,-0.00070,-0.00084,0.29284,-0.00074,-0.00083,0.29555,-0.00077,-0.00082,-0.00088,-0.00086,-0.73239,0.00062,-0.00010,-0.00080
2022,05,14,20:43:31.932,sun,0.000,0.000000,0.307512,24.637995,-1.37679,-10.27674,-9.71698,-1.57518,-10.14260,-9.67048,-1.67159,-10.13776,-9.69270,-1.75651,-10.16759,-9.71705,-1.45689,-10.20161,-9.69274,-1.66923,0.00184,-1.65385,-10.21692,-9.65871,-0.36684,-10.09351,-9.71063,-1.41449,-10.08355,-9.67581,-9.61951,-9.61607,-9.72601,0.57108,3.98653,-3.96940
2022,05,14,20:43:32.130,sun,0.000,0.000000,0.155915,19.812114,-1.46663,-10.29761,-9.72853,-1.70400,-10.16871,-9.67983,-1.85680,-10.13404,-9.68710,-1.88104,-10.15102,-9.71078,-1.56456,-10.21391,-9.69237,-1.66917,0.00184,-1.80664,-10.22786,-9.66819,-0.51909,-10.10150,-9.69845,-1.46693,-10.10512,-9.69364,-9.63635,-9.63585,-9.75965,0.57103,3.98647,-3.96949
2022,05,14,20:43:32.380,sun,0.000,0.000000,-0.090613,26.978230,-1.46661,-10.29560,-9.74380,-1.70262,-10.19255,-9.70838,-1.85698,-10.15874,-9.71129,-1.88097,-10.19812,-9.68359,-1.56421,-10.14994,-9.67026,-1.66923,0.00179,-1.80761,-10.19954,-9.63326,-0.51926,-10.06673,-9.67940,-1.46909,-10.07338,-9.69543,-9.64310,-9.64124,-9.76463,0.57107,3.98649,-3.96953
2022,05,14,20:43:32.629,sun,0.000,0.000000,0.007317,18.717874,-1.46728,-10.28687,-9.72151,-1.70270,-10.16691,-9.68663,-1.85717,-10.10368,-9.68052,-1.88078,-10.15012,-9.70082,-1.56361,-10.18317,-9.69178,-1.66919,0.00186,-1.80752,-10.23066,-9.67219,-0.52038,-10.11662,-9.68710,-1.46888,-10.09983,-9.70005,-9.64498,-9.62169,-9.73492,0.57108,3.98654,-3.96954
2022,05,14,20:43:32.879,sun,0.000,0.000000,0.019515,11.751145,-1.46687,-10.31451,-9.73289,-1.70162,-10.21464,-9.72193,-1.85726,-10.16824,-9.70723,-1.88057,-10.19968,-9.71194,-1.56397,-10.15914,-9.67659,-1.66924,0.00183,-1.80662,-10.18953,-9.63503,-0.52030,-10.08482,-9.66736,-1.46899,-10.07249,-9.69659,-9.66396,-9.65137,-9.74351,0.57111,3.98653,-3.96950
2022,05,14,20:43:33.130,sun,0.000,0.000000,0.006917,7.668885,-1.46744,-10.29308,-9.71989,-1.70175,-10.16274,-9.68936,-1.85761,-10.12925,-9.67438,-1.88053,-10.15264,-9.70874,-1.56357,-10.18677,-9.68975,-1.66914,0.00184,-1.80587,-10.21626,-9.66065,-0.52031,-10.11441,-9.70218,-1.46860,-10.09404,-9.69717,-9.63835,-9.63294,-9.73812,0.57107,3.98652,-3.96953
2022,05,14,20:43:33.380,sun,0.000,0.000000,-0.004070,3.346580,-1.46714,-10.31080,-9.73811,-1.70133,-10.19059,-9.70574,-1.85678,-10.17154,-9.69813,-1.88041,-10.19414,-9.70327,-1.56317,-10.15241,-9.66985,-1.66919,0.00183,-1.80575,-10.17995,-9.61595,-0.51964,-10.07952,-9.66980,-1.46860,-10.06647,-9.69985,-9.66243,-9.65886,-9.75537,0.57106,3.98651,-3.96955
2022,05,14,20:43:33.630,sun,0.000,0.000000,-0.001310,2.776602,-1.46811,-10.29004,-9.72546,-1.70270,-10.14657,-9.68817,-1.85373,-10.13549,-9.67914,-1.88033,-10.14493,-9.70784,-1.56339,-10.20961,-9.68583,-1.66920,0.00188,-1.80538,-10.22077,-9.65259,-0.51920,-10.11338,-9.70064,-1.46852,-10.08486,-9.68982,-9.64331,-9.62803,-9.72281,0.57109,3.98652,-3.96951
2022,05,14,20:43:33.879,sun,0.000,0.000000,-0.000555,5.214534,-1.46622,-10.30791,-9.74829,-1.70047,-10.20204,-9.71499,-1.85531,-10.17725,-9.70973,-1.88013,-10.18882,-9.70365,-1.56277,-10.17173,-9.67008,-1.66913,0.00184,-1.80491,-10.20202,-9.63537,-0.51990,-10.08159,-9.67567,-1.46843,-10.07442,-9.67536,-9.65917,-9.65458,-9.74578,0.57110,3.98656,-3.96953
